model,loss,learning_rate,val_NDCG@10,val_NDCG@50,val_Recall@10,val_Recall@50,val_MRR,test_NDCG@10,test_NDCG@50,test_Recall@10,test_Recall@50,test_MRR,train_s
GRU4Rec,bce,0.02,0.002,0.0058,0.0064,0.0225,0.0028,0.0032,0.0071,0.0067,0.0234,0.0042,25.1
GRU4Rec,bce,0.05,0.0048,0.0075,0.0064,0.0193,0.0059,0.0,0.0031,0.0,0.0167,0.0014,24.4
GRU4Rec,bce,0.1,0.003,0.009,0.0064,0.0354,0.0044,0.0,0.0014,0.0,0.0067,0.0017,24.7
GRU4Rec,bce,0.15,0.0053,0.0101,0.0129,0.0354,0.0051,0.001,0.0069,0.0033,0.0301,0.0031,24.4
GRU4Rec,bce,0.2,0.0199,0.0322,0.0354,0.0932,0.0193,0.0146,0.0284,0.0301,0.0936,0.0142,24.4
GRU4Rec,bpr,0.02,0.1203,0.1447,0.1704,0.283,0.1115,0.1056,0.1302,0.1672,0.2809,0.0939,25.9
GRU4Rec,bpr,0.05,0.2236,0.2471,0.3023,0.4084,0.2062,0.2098,0.2329,0.3311,0.4348,0.1791,25.9
GRU4Rec,bpr,0.1,0.3206,0.3335,0.418,0.4759,0.2932,0.3167,0.3366,0.4147,0.5084,0.2899,26.0
GRU4Rec,bpr,0.15,0.3247,0.3426,0.4309,0.508,0.2948,0.3156,0.3343,0.4214,0.505,0.2862,26.3
GRU4Rec,bpr,0.2,0.3123,0.3282,0.4277,0.4984,0.2797,0.2788,0.2913,0.4147,0.4749,0.2381,26.3
GRU4Rec,bpr-max,0.02,0.1725,0.1965,0.2733,0.3826,0.1485,0.1559,0.1799,0.2375,0.3478,0.1379,31.2
GRU4Rec,bpr-max,0.05,0.1845,0.206,0.2701,0.3666,0.1638,0.1501,0.1794,0.2408,0.3746,0.1297,30.9
GRU4Rec,bpr-max,0.1,0.1215,0.1406,0.1897,0.2701,0.1062,0.0897,0.1114,0.1472,0.2441,0.0786,30.9
GRU4Rec,bpr-max,0.15,0.0504,0.0588,0.0804,0.1158,0.0447,0.0247,0.0395,0.0468,0.1137,0.0225,30.7
GRU4Rec,bpr-max,0.2,0.0163,0.0178,0.0289,0.0354,0.0139,0.0092,0.0123,0.0134,0.0301,0.0093,30.6
GRU4Rec,cross-entropy,0.02,0.2598,0.2859,0.3441,0.4566,0.2414,0.24,0.2627,0.3478,0.4515,0.2117,29.8
GRU4Rec,cross-entropy,0.05,0.3502,0.3651,0.4566,0.5241,0.3198,0.3313,0.3457,0.4716,0.5351,0.2908,26.7
GRU4Rec,cross-entropy,0.1,0.3704,0.3812,0.4984,0.5434,0.3323,0.351,0.3626,0.4783,0.5284,0.3132,26.6
GRU4Rec,cross-entropy,0.15,0.3514,0.3637,0.4759,0.5305,0.3147,0.3234,0.3397,0.4381,0.5117,0.291,26.4
GRU4Rec,cross-entropy,0.2,0.3144,0.3342,0.418,0.508,0.2861,0.3174,0.3326,0.4281,0.495,0.2855,26.4
GRU4Rec,top1,0.02,0.2805,0.2972,0.3891,0.463,0.2511,0.2522,0.2758,0.3779,0.4816,0.2193,27.0
GRU4Rec,top1,0.05,0.3424,0.3586,0.4469,0.5209,0.3127,0.3482,0.3604,0.4849,0.5418,0.307,27.2
GRU4Rec,top1,0.1,0.3385,0.3547,0.4727,0.5466,0.3004,0.3264,0.3452,0.4816,0.5652,0.2817,27.2
GRU4Rec,top1,0.15,0.312,0.3338,0.4277,0.5209,0.2816,0.3088,0.3302,0.4448,0.5385,0.2715,26.9
GRU4Rec,top1,0.2,0.2943,0.3205,0.4051,0.5241,0.2661,0.2869,0.3118,0.4214,0.5318,0.2511,27.1
FPMC,bce,0.02,0.0025,0.0031,0.0064,0.0096,0.0023,0.0,0.0,0.0,0.0,0.0006,21.1
FPMC,bce,0.05,0.0094,0.0114,0.0161,0.0257,0.0086,0.0047,0.007,0.01,0.0201,0.0044,21.0
FPMC,bce,0.1,0.0164,0.0241,0.0322,0.0675,0.0147,0.0097,0.0161,0.0134,0.0435,0.0115,21.1
FPMC,bce,0.15,0.0212,0.0287,0.0354,0.0707,0.02,0.0179,0.022,0.0301,0.0502,0.0168,21.1
FPMC,bce,0.2,0.0224,0.0304,0.0418,0.0804,0.0195,0.0177,0.0241,0.0301,0.0602,0.017,21.1
FPMC,bpr,0.02,0.17,0.1947,0.2476,0.3569,0.1521,0.1736,0.194,0.2542,0.3445,0.1541,22.2
FPMC,bpr,0.05,0.168,0.1904,0.2379,0.3408,0.1518,0.1649,0.1826,0.2408,0.3177,0.1466,22.1
FPMC,bpr,0.1,0.1681,0.1869,0.2476,0.3344,0.1482,0.1641,0.1785,0.2508,0.3144,0.1419,22.1
FPMC,bpr,0.15,0.17,0.1906,0.2508,0.3441,0.1501,0.163,0.1792,0.2542,0.3278,0.1395,22.1
FPMC,bpr,0.2,0.1699,0.1896,0.254,0.3441,0.1486,0.1652,0.183,0.2542,0.3344,0.143,22.0
FPMC,bpr-max,0.02,0.2153,0.2296,0.3151,0.3762,0.1883,0.1877,0.2117,0.2709,0.3746,0.1681,27.4
FPMC,bpr-max,0.05,0.2251,0.2319,0.3151,0.3441,0.1989,0.1996,0.21,0.2843,0.3344,0.1761,27.4
FPMC,bpr-max,0.1,0.2292,0.2362,0.3151,0.3473,0.204,0.1994,0.208,0.2776,0.3144,0.1777,27.5
FPMC,bpr-max,0.15,0.2322,0.2388,0.3183,0.3473,0.2074,0.2,0.2073,0.2776,0.311,0.1782,27.6
FPMC,bpr-max,0.2,0.2279,0.2362,0.3087,0.3441,0.2048,0.1978,0.2076,0.2676,0.3077,0.1792,27.4
FPMC,cross-entropy,0.02,0.2124,0.2342,0.3087,0.4051,0.1883,0.2057,0.2276,0.3043,0.4013,0.1809,25.8
FPMC,cross-entropy,0.05,0.2116,0.2334,0.3151,0.4116,0.185,0.2039,0.2207,0.301,0.3712,0.1788,22.6
FPMC,cross-entropy,0.1,0.216,0.2314,0.3248,0.3923,0.1868,0.2117,0.225,0.3077,0.3645,0.186,22.5
FPMC,cross-entropy,0.15,0.2159,0.2306,0.3215,0.3859,0.1872,0.214,0.2265,0.3043,0.3612,0.1897,22.5
FPMC,cross-entropy,0.2,0.2169,0.2294,0.3248,0.3794,0.1871,0.2134,0.2257,0.291,0.3445,0.1927,22.6
FPMC,top1,0.02,0.2484,0.2634,0.3473,0.4116,0.2224,0.2216,0.2437,0.3177,0.4114,0.1978,23.3
FPMC,top1,0.05,0.2469,0.2624,0.3408,0.4051,0.2224,0.2247,0.2385,0.3211,0.3813,0.1992,23.2
FPMC,top1,0.1,0.2385,0.2505,0.3505,0.4019,0.2071,0.2234,0.2411,0.3144,0.3913,0.1997,23.2
FPMC,top1,0.15,0.2385,0.2525,0.3376,0.4019,0.2112,0.2133,0.233,0.3043,0.3913,0.1902,23.2
FPMC,top1,0.2,0.2426,0.258,0.3441,0.4116,0.2153,0.2177,0.2328,0.3077,0.3746,0.1935,23.2
SASRec,bce,0.0005,0.3888,0.4022,0.5048,0.5627,0.3554,0.3746,0.3894,0.4883,0.5552,0.3419,208.6
SASRec,bce,0.001,0.388,0.4018,0.5016,0.5659,0.3545,0.3746,0.388,0.4916,0.5518,0.3406,208.8
SASRec,bce,0.003,0.3776,0.3907,0.5016,0.5627,0.3404,0.3614,0.375,0.4816,0.5418,0.3262,208.8
SASRec,bce,0.005,0.3715,0.3797,0.4662,0.5016,0.3436,0.354,0.3694,0.4448,0.5151,0.3286,213.4
SASRec,bce,0.01,0.0487,0.0742,0.0804,0.2026,0.0469,0.0342,0.0596,0.0635,0.1839,0.0334,213.8
SASRec,bpr,0.0005,0.3752,0.3847,0.463,0.5048,0.3488,0.3671,0.3768,0.4482,0.4916,0.3437,209.2
SASRec,bpr,0.001,0.378,0.3839,0.4662,0.492,0.3509,0.3611,0.3685,0.4415,0.4716,0.3376,209.8
SASRec,bpr,0.003,0.3842,0.3956,0.4984,0.5498,0.35,0.3712,0.387,0.4849,0.5552,0.3388,209.9
SASRec,bpr,0.005,0.39,0.3998,0.4952,0.5402,0.3583,0.3706,0.3866,0.4816,0.5518,0.339,213.0
SASRec,bpr,0.01,0.3913,0.4036,0.492,0.5498,0.3611,0.3723,0.3861,0.4716,0.5351,0.3435,216.6
SASRec,bpr-max,0.0005,0.3851,0.3952,0.4823,0.5305,0.356,0.3688,0.3779,0.4649,0.505,0.3408,216.6
SASRec,bpr-max,0.001,0.3829,0.3891,0.4823,0.5113,0.3519,0.368,0.3771,0.4615,0.505,0.3399,216.7
SASRec,bpr-max,0.003,0.378,0.3844,0.5016,0.5305,0.3395,0.353,0.3671,0.4649,0.5251,0.3207,216.6
SASRec,bpr-max,0.005,0.3692,0.3787,0.4984,0.5402,0.3297,0.3548,0.3679,0.4749,0.5318,0.3198,218.1
SASRec,bpr-max,0.01,0.3814,0.3949,0.492,0.5498,0.3492,0.3632,0.3737,0.4749,0.5251,0.33,219.8
SASRec,cross-entropy,0.0005,0.3672,0.3722,0.4277,0.4502,0.3487,0.347,0.3522,0.4013,0.4247,0.3312,213.1
SASRec,cross-entropy,0.001,0.3625,0.3682,0.4534,0.4759,0.3349,0.3471,0.3564,0.4314,0.4749,0.322,210.1
SASRec,cross-entropy,0.003,0.3837,0.3918,0.5016,0.5402,0.3482,0.3739,0.3864,0.4783,0.5351,0.3441,210.2
SASRec,cross-entropy,0.005,0.3761,0.3862,0.5048,0.5498,0.3371,0.3622,0.3809,0.4816,0.5652,0.3288,213.2
SASRec,cross-entropy,0.01,0.3696,0.3854,0.4823,0.5531,0.3369,0.3412,0.3582,0.4682,0.5452,0.3049,215.0
SASRec,top1,0.0005,0.3756,0.3788,0.4373,0.4534,0.3564,0.3509,0.3538,0.4114,0.4247,0.3326,211.6
SASRec,top1,0.001,0.3735,0.3805,0.4727,0.5048,0.3431,0.3539,0.3646,0.4381,0.4849,0.3293,211.0
SASRec,top1,0.003,0.3725,0.3871,0.4984,0.5659,0.3356,0.3608,0.3793,0.4749,0.5518,0.3295,211.1
SASRec,top1,0.005,0.3745,0.3917,0.4952,0.5723,0.3397,0.3626,0.3807,0.495,0.5786,0.3247,211.8
SASRec,top1,0.01,0.3787,0.3963,0.508,0.5884,0.3411,0.3619,0.3783,0.4983,0.5719,0.3222,216.7
BERT4Rec,bce,0.0005,0.3645,0.3803,0.4695,0.5434,0.3349,0.3626,0.3808,0.4716,0.5518,0.3325,208.0
BERT4Rec,bce,0.001,0.3663,0.3865,0.4662,0.5595,0.3386,0.3645,0.3817,0.4716,0.5485,0.3344,207.3
BERT4Rec,bce,0.003,0.3822,0.3982,0.4952,0.5627,0.3507,0.3483,0.3675,0.4749,0.5585,0.3126,207.7
BERT4Rec,bce,0.005,0.3617,0.377,0.4759,0.5466,0.3292,0.3574,0.3702,0.4883,0.5452,0.3196,208.2
BERT4Rec,bce,0.01,0.0119,0.0151,0.0161,0.0322,0.0129,0.0066,0.0142,0.0201,0.0569,0.0061,209.4
BERT4Rec,bpr,0.0005,0.383,0.3916,0.4759,0.5145,0.3549,0.3585,0.373,0.4415,0.505,0.336,209.4
